ebid,name,stub,area,type,longitude,latitude,function,url,address1,address2,city,postcode,timestamp
,Parking,,central,parkperm,-3.1840369105339050,55.9469845412586900,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1892564892768860,55.9482506468223660,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1876552104949950,55.9459797376299760,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1904876232147217,55.9451686663576600,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1900584697723390,55.9445933962510300,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1862604618072510,55.9442614479933500,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1866574287414550,55.9440451543849600,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1857562065124510,55.9435104233350300,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1886422634124756,55.9424349306636160,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1879019737243652,55.9427413589922860,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1877490878105164,55.9423072514778000,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkperm,-3.1850534677505493,55.9425701199310000,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Parking,,central,parkpub,-3.1885671615600586,55.9476919434207200,,,NULL,NULL,,,"2014-09-30 15:21:50"
,"Teviot Row House",,central,union,-3.1886208057403564,55.9449944340160300,,,NULL,NULL,,,"2014-09-30 15:21:50"
,"The Potterow",,central,union,-3.1882989406585693,55.9460097769805000,,,NULL,NULL,,,"2014-09-30 15:21:50"
,Pleasance,,central,union,-3.1815505027770996,55.9477400042452760,,,NULL,NULL,,,"2014-09-30 15:21:50"
,"British Geological Survey",british-geological-survey,kb,building,-3.1791687011718750,55.9242852441090000,,,"Murchison House","West Mains Road",Edinburgh,"EH9 3LA","2014-10-23 14:26:00"
0622,"Weir Building",weir-building,kb,building,-3.1792438030242920,55.9231491035277340,"Science and Engineering Office, Chaplaincy, Careers Service, Student Advisory and Counselling Service",,"King's Buildings","Max Born Crescent",Edinburgh,"EH9 3BF","2014-10-23 14:26:19"
0621,"Crew Building",crew-building,kb,building,-3.1776666641235350,55.9230950007645600,,,"King's Buildings","Alexander Crum Brown Road",Edinburgh,"EH9 3FF","2014-10-23 14:33:54"
0632,"Joseph Black Building",joseph-black-building,kb,building,-3.1762075424194336,55.9236600703440500,Chemistry,,"David Brewster Road","King's Buildings",Edinburgh,"EH9 3FJ","2015-12-17 10:10:42"
0648,"Roger Land Building",roger-land-building,kb,building,-3.1764221191406250,55.9223014848946700,,,"Alexander Crum Brown Road","King's Buildings",Edinburgh,"EH9 3FF","2015-12-17 10:11:57"
,"Peter Wilson Building",peter-wilson-building,kb,building,-3.1765186786651610,55.9216221743117100,,,"Nicholas Kemmer Road","King's Buildings",Edinburgh,"EH9 3FH","2015-12-17 10:11:57"
,"Grant Institute",grant-institute,kb,building,-3.1746411323547363,55.9238464212712600,Geosciences,,"James Hutton Road","King's Buildings",Edinburgh,"EH9 3FE","2015-12-17 10:10:42"
0637,"King's Buildings House",kings-buildings-house,kb,building,-3.1748771667480470,55.9235759115671200,"Students Association EUSA",,"KB Square","King's Buildings",Edinburgh,"EH9 3DL","2015-12-17 10:10:42"
0639,"King's Buildings Centre",kings-buildings-centre,kb,building,-3.1746411323547363,55.9229447149150500,,,"Thomas Bayes Road","King's Buildings",Edinburgh,"EH9 3FG","2015-12-17 10:10:42"
0613,"James Clerk Maxwell Building",james-clerk-maxwell-building,kb,building,-3.1740939617156982,55.9216702674879260,"Informatics, Mathematics, Physics, Geosciences (Meteorology)",,"Peter Guthrie Tait Road","King's Buildings",Edinburgh,"EH9 3FD","2015-12-17 10:11:57"
0640-0644,"Ashworth Laboratories",ashworth-laboratories,kb,building,-3.1727099418640137,55.9239606359128100,"Biological Sciences, (Cell, Animal and Population Biology)",http://www.ed.ac.uk/buildings/nathistmus.html,"Charlotte Auerbach Road","King's Buildings",Edinburgh,"EH9 3FL","2015-12-17 10:10:42"
,"Sanderson Building",sanderson-building,kb,building,-3.1717228889465330,55.9231010121864360,"Engineering and Electronics (Mechanical Engineering)",,"Robert Stevenson Road","King's Buildings",Edinburgh,"EH9 3FB","2015-12-17 10:10:42"
0605,"John Muir Building",john-muir-building,kb,building,-3.1732544302940370,55.9227328108771200,"Geosciences (Centre for Environmental Change and Sustainability)",,"Colin Maclaurin Road ","King's Buildings",Edinburgh,"EH9 3DW","2015-12-17 10:10:42"
0602,"Hudson Beare Building",hudson-beare-building,kb,building,-3.1713366508483887,55.9225239114362440,"Engineering and Electronics (Mechanical and Electrical Engineering)",,"Colin Maclaurin Road","King's Buildings",Edinburgh,"EH9 3DW","2015-12-17 10:10:42"
0616,"Alrick Building",alrick-building,kb,building,-3.1714224815368652,55.9221632191038440,"Engineering and Electronics (Electrical Engineering)",,"Max Born Crescent","King's Buildings",Edinburgh,"EH9 3BF","2015-12-17 10:10:42"
0608,"Daniel Rutherford Building",daniel-rutherford-building,kb,building,-3.1706821918487550,55.9219287672878450,"Biological Sciences (Cell and Molecular Biology)",,"Max Born Crescent","King's Buildings",Edinburgh,"EH9 3BF","2015-12-17 10:10:42"
0610,"Darwin Building",darwin-building,kb,building,-3.1710684299468994,55.9214177776469500,"Biological Sciences (Cell and Molecular Biology), Geosciences (Ecology and Resource Management)",,"Max Born Crescent","King's Buildings",Edinburgh,"EH9 3BF","2015-12-17 10:10:42"
,"Swann Building",michael-swann-building,kb,building,-3.1719267368316650,55.9216101510083200,"Biological Sciences",,"Max Born Crescent","King's Buildings",Edinburgh,"EH9 3BF","2015-12-17 10:10:43"
,"John Murray Building",john-murray-labs,kb,building,-3.1734287738800050,55.9234316389528840,,,"James Hutton Road","King's Buildings",Edinburgh,"EH9 3FE","2015-12-17 10:10:42"
0647,"March Building",march-building,kb,building,-3.1728494167327880,55.9234436616912500,,,"James Hutton Road","King's Buildings",Edinburgh,"EH9 3FE","2015-12-17 10:10:42"
0652,"Ann Walker Building",ann-walker-building,kb,building,-3.1738901138305664,55.9231070236073500,,,"Thomas Bayes Road","King's Buildings",Edinburgh,"EH9 3FG","2015-12-17 10:10:42"
,"Structures Lab",structures-lab,kb,building,-3.1726777553558350,55.9229086462244400,,,"Colin Maclaurin Road","King's Buildings",Edinburgh,"EH9 3DW","2014-10-23 14:47:49"
0615,"Fleeming Jenkin Building",fleeming-jenkin-building,kb,building,-3.1723880767822266,55.9224096925608100,,,"Colin Maclaurin Road","King's Buildings",Edinburgh,"EH9 3DW","2015-12-17 10:10:42"
,"Alexander Graham Bell Building",alexander-graham-bell-building,kb,building,-3.1727340817451477,55.9222684213808400,IDCOM,,"King's Buildings","Thomas Bayes Road",Edinburgh,"EH9 3FG","2015-12-17 10:10:42"
,,,NULL,cafe,-3.1762517094830400,55.9222427721145700,,,,,,,"2015-12-17 10:23:49"
,"KB Parking",,kb,parkperm,-3.1778919696807860,55.9239906923415000,,,,,,,"2015-12-17 10:28:58"
,"KB Parking",,kb,parkperm,-3.1775888800621033,55.9235067810065000,,,,,,,"2015-12-17 10:28:58"
,Pleasance,pleasance,central,building,-3.1815088394796476,55.9478375275095800,,,Pleasance,,Edinburgh,"EH8 9TJ","2015-12-21 14:50:02"
,"KB Parking",,kb,parkperm,-3.1792008876800537,55.9222834502542550,,,,,,,"2015-12-17 10:28:57"
,"KB Parking",,kb,parkperm,-3.1783533096313477,55.9216822907726600,,,,,,,"2015-12-17 10:28:57"
,"KB Parking",,kb,parkperm,-3.1754243373870850,55.9233835479621400,,,,,,,"2015-12-17 10:28:58"
,"KB Parking",,kb,parkperm,-3.1752204895019530,55.9221271496860060,,,,,,,"2015-12-17 10:28:58"
,"KB Parking",,kb,parkperm,-3.1744909286499023,55.9242070979398600,,,,,,,"2015-12-17 10:29:32"
,"KB Parking",,kb,parkperm,-3.1734126806259155,55.9223976695017100,,,,,,,"2015-12-17 10:29:10"
,"KB Parking",,kb,parkperm,-3.1730532646179200,55.9240688389469500,,,,,,,"2015-12-17 10:29:32"
,"KB Parking",,kb,parkperm,-3.1722700595855713,55.9238464212712600,,,,,,,"2015-12-17 10:29:32"
,"KB Parking",,kb,parkperm,-3.1713151931762695,55.9230228636295200,,,,,,,"2015-12-17 10:29:10"
,"KB Parking",,kb,parkperm,-3.1722700595855713,55.9226621759403700,,,,,,,"2015-12-17 10:29:10"
,"KB Parking",,kb,parkperm,-3.1717818975448610,55.9213020525868460,,,,,,,"2015-12-17 10:29:10"
,"KB Parking",,kb,parkperm,-3.1705856323242188,55.9215620577575000,,,,,,,"2015-12-17 10:29:10"
,"King's House Building",,kb,union,-3.1749415397644043,55.9235699002189000,,,NULL,NULL,,,"2014-09-30 15:21:50"
,"Pollock Halls of Residence",pollock,central,building,-3.1718409061431885,55.9403791945471550,,,18,"Holyrood Park Road",Edinburgh,"EH16 5AY","2014-09-30 15:21:50"
0905,"Abden House",abden-house,central,building,-3.1692230701446533,55.9374401075255800,,,1,"Marchhall Crescent",Edinburgh,"EH16 5HP","2014-09-30 15:21:50"
,"South College Street",south-college-street,central,building,-3.1870731711387634,55.9469785335416740,,,,"South College Street",Edinburgh,"EH8 9AA","2015-12-17 10:10:40"
,"George Square",george-square,central,building,-3.1886315345764160,55.9435284480973960,,,,"George Square",Edinburgh,"EH8 9JZ","2015-12-17 10:10:39"
,"Informatics Forum",informatics-forum,central,building,-3.1875371932983400,55.9446652929679200,,,10,"Crichton Street",Edinburgh,"EH8 9AB","2015-12-17 10:10:40"
,"Dugald Stewart Building",dugald-stewart-building,central,building,-3.1878590583801270,55.9451506423586760,,,3,"Charles Street",Edinburgh,"EH8 9AD","2015-12-21 14:46:11"
,NULL,,central,info,-3.1877517700195312,55.9449283456813800,,,NULL,NULL,,,"2014-09-30 15:21:50"
